Time,Price,Side
02/24/23 02:40:29,1652.68,Short
02/24/23 02:41:23,1653.28,Short
02/24/23 02:42:34,1653.48,Short
02/24/23 02:43:29,1653.56,Short
02/24/23 02:44:26,1652.01,Short
02/24/23 02:45:38,1652.2,Short
02/24/23 02:46:37,1651.61,Short
02/24/23 02:47:36,1650.13,Short
02/24/23 02:48:34,1647.86,Short
02/24/23 02:49:30,1647.67,Short
02/24/23 02:50:26,1647.01,Short
02/24/23 02:51:23,1646.56,Short
02/24/23 02:52:35,1647.47,Short
02/24/23 02:53:28,1648.22,Short
02/24/23 02:54:22,1648.0,Short
02/24/23 02:55:32,1647.07,Short
02/24/23 02:56:27,1647.0,Short
02/24/23 02:57:21,1647.97,Short
02/24/23 02:58:30,1647.42,Short
02/24/23 02:59:25,1647.63,Short
02/24/23 03:04:26,1646.83,Short
02/24/23 03:05:38,1646.47,Short
02/24/23 03:06:34,1646.58,Short
02/24/23 03:07:30,1647.26,Short
02/24/23 03:08:27,1647.29,Short
02/24/23 03:09:39,1647.37,Short
02/24/23 03:10:35,1647.55,Short
02/24/23 03:11:38,1648.66,Short
02/24/23 03:12:32,1648.51,Short
02/24/23 03:13:28,1648.43,Short
02/24/23 03:14:22,1648.75,Short
02/24/23 03:15:33,1649.29,Short
02/24/23 03:16:28,1649.2,Short
02/24/23 03:17:25,1649.32,Short
02/24/23 03:18:42,1649.57,Short
02/24/23 03:19:22,1649.3,Short
02/24/23 03:20:31,1648.33,Short
02/24/23 03:21:29,1648.93,Short
02/24/23 03:22:26,1651.24,Short
02/24/23 03:23:38,1650.88,Short
02/24/23 03:24:35,1651.0,Short
02/24/23 03:25:30,1650.32,Short
02/24/23 03:26:26,1650.22,Short
02/24/23 03:27:38,1649.22,Short
02/24/23 03:28:35,1649.32,Short
02/24/23 03:29:29,1649.49,Short
02/24/23 03:30:25,1649.73,Short
02/24/23 03:31:38,1650.75,Short
02/24/23 03:32:36,1650.75,Short
02/24/23 03:33:35,1650.35,Short
02/24/23 03:34:31,1650.84,Short
02/24/23 03:35:28,1650.61,Short
02/24/23 03:36:24,1650.84,Short
02/24/23 03:37:37,1650.54,Short
02/24/23 03:38:33,1649.47,Short
02/24/23 03:39:28,1649.67,Short
02/24/23 03:40:22,1649.79,Short
02/24/23 03:41:33,1649.15,Short
02/24/23 03:42:30,1648.8,Short
02/24/23 03:43:26,1648.23,Short
02/24/23 03:44:37,1648.11,Short
02/24/23 03:45:32,1648.22,Short
02/24/23 03:46:28,1648.64,Short
02/24/23 03:47:23,1648.51,Short
02/24/23 03:48:36,1650.76,Short
02/24/23 03:49:31,1650.65,Short
02/24/23 03:50:33,1650.64,Short
02/24/23 03:51:30,1650.34,Short
02/24/23 03:52:27,1650.19,Short
02/24/23 03:53:23,1650.42,Short
02/24/23 03:54:35,1649.75,Short
02/24/23 03:55:30,1649.25,Short
02/24/23 03:56:27,1649.65,Short
02/24/23 03:57:22,1648.33,Short
02/24/23 03:58:34,1647.86,Short
02/24/23 03:59:29,1647.76,Short
02/24/23 04:04:28,1650.08,Short
02/24/23 04:05:23,1649.5,Short
02/24/23 04:06:39,1650.46,Short
02/24/23 04:07:35,1650.34,Short
02/24/23 04:08:30,1650.22,Short
02/24/23 04:09:25,1649.77,Short
02/24/23 04:10:37,1650.47,Short
02/24/23 04:11:30,1650.58,Short
02/24/23 04:12:26,1650.0,Short
02/24/23 04:13:39,1650.32,Short
02/24/23 04:14:36,1650.48,Short
02/24/23 04:15:32,1650.1,Short
02/24/23 04:16:28,1649.57,Short
02/24/23 04:17:25,1650.01,Short
02/24/23 04:18:37,1648.78,Short
02/24/23 04:19:32,1648.83,Short
02/24/23 04:20:28,1648.06,Short
02/24/23 04:21:23,1646.47,Short
02/24/23 04:22:35,1649.31,Short
02/24/23 04:23:29,1649.59,Short
02/24/23 04:24:26,1649.62,Short
02/24/23 04:25:38,1649.71,Short
02/24/23 04:26:35,1649.13,Short
02/24/23 04:27:32,1648.16,Short
02/24/23 04:28:31,1648.76,Short
02/24/23 04:29:29,1647.75,Short
02/24/23 04:30:29,1648.18,Short
02/24/23 04:31:24,1648.08,Short
02/24/23 04:32:37,1648.09,Short
02/24/23 04:33:31,1647.75,Short
02/24/23 04:34:27,1647.98,Short
02/24/23 04:35:37,1647.84,Short
02/24/23 04:36:37,1648.67,Short
02/24/23 04:37:32,1647.86,Short
02/24/23 04:38:28,1647.08,Short
02/24/23 04:39:23,1647.48,Short
02/24/23 04:40:34,1647.12,Short
02/24/23 04:41:29,1647.02,Short
02/24/23 04:42:24,1648.26,Short
02/24/23 04:43:38,1649.47,Short
02/24/23 04:44:36,1649.67,Short
02/24/23 04:45:35,1649.98,Short
02/24/23 04:46:33,1649.14,Short
02/24/23 04:47:30,1649.48,Short
02/24/23 04:48:27,1649.96,Short
02/24/23 04:49:22,1649.71,Short
02/24/23 04:50:32,1649.54,Short
02/24/23 04:51:28,1648.84,Short
02/24/23 04:52:28,1649.26,Short
02/24/23 04:53:22,1648.97,Short
02/24/23 04:54:33,1649.16,Short
02/24/23 04:55:28,1648.67,Short
02/24/23 04:56:24,1648.12,Short
02/24/23 04:57:36,1647.79,Short
02/24/23 04:58:32,1647.23,Short
02/24/23 04:59:29,1646.31,Short
02/24/23 05:02:42,1645.47,Short
02/24/23 05:03:22,1645.0,Short
02/24/23 05:04:33,1645.33,Short
02/24/23 05:05:28,1644.26,Short
02/24/23 05:06:23,1644.44,Short
02/24/23 05:07:36,1643.66,Short
02/24/23 05:08:30,1642.17,Short
02/24/23 05:09:29,1642.52,Short
02/24/23 05:10:23,1643.33,Short
02/24/23 05:11:36,1643.17,Short
