time,Open,High,Low,Close,Volume
1612411200000,1648.87,1674.46,1636.49,1658.01,242702.837
1612418400000,1658.00,1686.00,1651.14,1664.33,235475.738
1612425600000,1664.33,1690.68,1571.11,1647.58,836538.384
1612432800000,1647.55,1655.53,1615.14,1615.72,391174.018
1612440000000,1615.65,1647.83,1609.10,1635.00,289422.205
1612447200000,1635.00,1644.00,1557.00,1583.04,714477.107
1612454400000,1582.92,1654.00,1567.57,1637.32,496921.090
1612461600000,1637.32,1670.00,1633.00,1658.06,285580.220
1612468800000,1658.09,1677.03,1630.00,1643.23,259864.318
1612476000000,1643.24,1643.97,1588.01,1596.00,324623.581
1612483200000,1595.93,1627.55,1592.46,1600.30,217811.698
1612490400000,1600.25,1659.00,1596.78,1644.60,263334.793
1612497600000,1644.63,1649.28,1625.30,1635.00,152649.804
1612504800000,1635.01,1674.87,1635.01,1666.50,259294.618
1612512000000,1666.50,1683.52,1652.94,1654.61,279711.745
1612519200000,1654.43,1670.88,1643.79,1665.57,201863.596
1612526400000,1665.59,1730.00,1658.56,1723.65,394697.922
1612533600000,1723.50,1753.35,1713.95,1745.24,528762.124
1612540800000,1745.25,1767.19,1709.00,1731.30,487773.091
1612548000000,1731.39,1733.85,1684.27,1712.62,403295.327
1612555200000,1712.65,1729.44,1696.79,1722.22,179102.906
1612562400000,1722.22,1728.00,1702.00,1721.16,150171.480
1612569600000,1721.03,1748.11,1647.09,1675.33,536876.618
1612576800000,1675.58,1695.00,1664.00,1685.20,331016.637
1612584000000,1685.21,1685.54,1648.17,1663.25,190558.958
1612591200000,1663.26,1684.52,1660.09,1674.99,150763.114
1612598400000,1674.99,1722.22,1673.75,1700.67,284962.468
1612605600000,1700.57,1702.26,1677.99,1683.49,273010.350
1612612800000,1683.49,1692.70,1665.03,1678.46,208168.520
1612620000000,1678.46,1702.19,1675.12,1677.13,181612.295
1612627200000,1677.13,1711.73,1661.01,1707.15,259816.790
1612634400000,1707.15,1718.36,1696.00,1711.40,203632.780
1612641600000,1711.49,1719.18,1685.55,1713.34,165825.067
1612648800000,1713.48,1725.32,1672.42,1679.34,204817.088
1612656000000,1679.38,1695.50,1629.00,1643.18,327266.999
1612663200000,1643.19,1648.55,1610.31,1628.22,357762.568
1612670400000,1628.22,1634.14,1587.00,1617.10,315412.957
1612677600000,1617.10,1640.51,1608.44,1633.00,167062.991
1612684800000,1633.00,1649.78,1629.71,1639.01,179607.766
1612692000000,1639.01,1658.25,1616.80,1627.22,216401.904
1612699200000,1627.17,1632.60,1581.00,1587.66,364067.537
1612706400000,1587.79,1589.00,1524.40,1538.65,684163.430
1612713600000,1538.68,1575.00,1490.48,1555.44,789173.886
1612720800000,1555.40,1590.00,1552.42,1566.29,235188.929
1612728000000,1566.29,1603.70,1552.22,1597.01,215852.330
1612735200000,1597.01,1621.81,1575.86,1611.99,211832.781
1612742400000,1612.00,1632.73,1580.00,1593.61,277469.444
1612749600000,1593.60,1605.83,1566.22,1583.35,216176.853
1612756800000,1583.35,1627.39,1579.60,1610.11,199698.380
1612764000000,1610.06,1649.28,1610.05,1640.29,178326.175
1612771200000,1640.21,1653.40,1627.11,1630.81,202857.543
1612778400000,1630.68,1669.00,1627.26,1664.03,212838.132
1612785600000,1664.11,1758.24,1645.00,1688.87,729185.490
1612792800000,1688.87,1766.40,1688.10,1737.78,492763.219
1612800000000,1737.80,1782.50,1705.45,1713.52,592857.092
1612807200000,1713.53,1720.93,1690.87,1701.83,233396.527
1612814400000,1701.84,1741.60,1696.97,1701.14,241363.186
1612821600000,1701.14,1758.99,1699.56,1755.61,307118.394
1612828800000,1755.60,1777.00,1732.06,1739.90,316206.271
1612836000000,1739.90,1741.97,1713.20,1738.89,190943.859
1612843200000,1739.07,1755.00,1731.39,1746.64,156674.954
1612850400000,1746.63,1776.00,1734.69,1754.21,276127.400
1612857600000,1753.81,1830.47,1753.81,1779.43,639177.226
1612864800000,1779.43,1783.65,1727.96,1758.51,357677.842
1612872000000,1758.48,1773.69,1717.30,1743.08,397678.341
1612879200000,1743.07,1761.00,1735.27,1751.09,195767.485
1612886400000,1751.10,1765.00,1721.93,1744.33,314297.741
1612893600000,1744.34,1778.00,1739.39,1778.00,164018.575
1612900800000,1777.99,1797.56,1761.11,1770.48,230840.912
1612908000000,1770.49,1779.99,1749.09,1770.79,149025.185
1612915200000,1770.99,1811.00,1761.00,1809.37,227096.886
1612922400000,1809.37,1832.40,1801.00,1815.08,255042.434
1612929600000,1815.08,1819.51,1771.00,1801.76,233302.482
1612936800000,1801.76,1831.76,1801.76,1816.73,225946.851
1612944000000,1816.73,1848.00,1785.00,1796.14,356486.187
1612951200000,1796.13,1815.21,1775.00,1796.02,235056.285
1612958400000,1796.02,1796.36,1683.08,1747.02,571586.644
1612965600000,1747.03,1764.99,1680.00,1715.47,548653.708
1612972800000,1715.49,1751.64,1692.13,1738.58,322196.593
1612980000000,1738.52,1749.50,1721.21,1744.46,170330.210
1612987200000,1744.45,1746.94,1706.51,1729.62,155654.093
1612994400000,1729.62,1762.46,1725.21,1743.31,140788.277
1613001600000,1743.30,1752.58,1704.21,1710.15,200204.548
1613008800000,1710.20,1755.00,1709.89,1745.86,98501.040
1613016000000,1745.84,1751.04,1718.86,1720.31,140573.473
1613023200000,1720.31,1750.19,1720.31,1739.57,137246.322
1613030400000,1739.47,1771.83,1732.87,1768.61,176129.015
1613037600000,1768.61,1792.09,1762.00,1766.95,238929.080
1613044800000,1767.01,1827.07,1766.53,1794.33,359480.920
1613052000000,1794.33,1811.63,1787.00,1800.69,183239.700
1613059200000,1800.70,1815.00,1781.16,1784.03,203949.430
1613066400000,1784.03,1805.49,1777.52,1794.77,137041.435
1613073600000,1794.55,1814.75,1758.00,1769.82,277655.032
1613080800000,1769.87,1794.13,1767.13,1789.32,103812.204
1613088000000,1789.32,1812.85,1787.40,1793.88,185593.569
1613095200000,1793.87,1793.87,1766.00,1768.45,114753.933
1613102400000,1768.45,1768.45,1740.22,1762.47,215094.581
1613109600000,1762.48,1774.76,1747.72,1770.53,131988.650
1613116800000,1770.52,1780.00,1753.04,1768.63,134407.288
1613124000000,1768.63,1788.02,1767.60,1780.01,119046.258
1613131200000,1780.17,1800.70,1771.50,1795.35,151076.793
1613138400000,1795.36,1807.89,1750.00,1790.44,403923.524
1613145600000,1790.47,1859.00,1790.47,1852.70,498563.335
1613152800000,1852.69,1862.33,1816.20,1845.53,305171.881
1613160000000,1845.38,1867.90,1842.21,1853.57,197499.340
1613167200000,1853.51,1872.86,1831.51,1843.08,193697.112
1613174400000,1843.08,1872.55,1842.62,1859.54,181997.572
